code,metaName,name,leadSource,companyName,returnTimes,returnTime,returnReason,owner,claimDate,dueDate
10092832882,clue,瓦力版,"{'defaultItem': False, 'id': 'option20', 'label': '其它', 'name': 'option20'}",上海八斗智能技术有限公司,0,null,null,"{'code': '10064203981', 'metaName': 'User', 'name': '汪军瑞', 'dept': {'path': '/koios/10011453293', 'code': '10013028623', 'metaName': 'Org', 'name': '销售部'}}",null,null
10092832583,clue,瓦力版,"{'defaultItem': False, 'id': 'option20', 'label': '其它', 'name': 'option20'}",轩昊（上海）网络科技有限公司,0,null,null,"{'code': '10064203981', 'metaName': 'User', 'name': '汪军瑞', 'dept': {'path': '/koios/10011453293', 'code': '10013028623', 'metaName': 'Org', 'name': '销售部'}}",null,null
10092832235,clue,瓦力版,"{'defaultItem': False, 'id': 'option20', 'label': '其它', 'name': 'option20'}",上海琥度软件有限公司,0,null,null,"{'code': '10064203981', 'metaName': 'User', 'name': '汪军瑞', 'dept': {'path': '/koios/10011453293', 'code': '10013028623', 'metaName': 'Org', 'name': '销售部'}}",null,null
10092691491,clue,瓦利版,null,迅邦（北京）国际知识产权代理有限公司,0,null,null,"{'code': '10064203947', 'metaName': 'User', 'name': '杨维维', 'dept': {'path': '/koios/10011453293', 'code': '10013028623', 'metaName': 'Org', 'name': '销售部'}}",null,null
10091045627,clue,瓦力版,null,青岛启晟睿网络科技有限公司,0,null,null,"{'code': '10036806361', 'metaName': 'User', 'name': '王飞', 'dept': {'path': '/koios/10011453293', 'code': '10013028623', 'metaName': 'Org', 'name': '销售部'}}",null,null
10091191531,clue,瓦力版,null,东莞市众核动力信息科技有限公司,0,null,null,"{'code': '10064203903', 'metaName': 'User', 'name': '王昌勇', 'dept': {'path': '/koios/10011453293', 'code': '10013028623', 'metaName': 'Org', 'name': '销售部'}}",null,null
10091190730,clue,瓦力版,null,陕西硅芯似见有限公司,0,null,null,"{'code': '10064203903', 'metaName': 'User', 'name': '王昌勇', 'dept': {'path': '/koios/10011453293', 'code': '10013028623', 'metaName': 'Org', 'name': '销售部'}}",null,null
10091189966,clue,瓦力版,null,烟台通路网络科技有限公司,0,null,null,"{'code': '10064203903', 'metaName': 'User', 'name': '王昌勇', 'dept': {'path': '/koios/10011453293', 'code': '10013028623', 'metaName': 'Org', 'name': '销售部'}}",null,null
10091189174,clue,瓦力版,null,无锡创木建筑科技有限公司,0,null,null,"{'code': '10064203903', 'metaName': 'User', 'name': '王昌勇', 'dept': {'path': '/koios/10011453293', 'code': '10013028623', 'metaName': 'Org', 'name': '销售部'}}",null,null
10091188195,clue,瓦力版,null,青岛门萨维智能机器人技术有限公司,0,null,null,"{'code': '10064203903', 'metaName': 'User', 'name': '王昌勇', 'dept': {'path': '/koios/10011453293', 'code': '10013028623', 'metaName': 'Org', 'name': '销售部'}}",null,null
